id,avg_sentiment_score,review_count
13,0.9727382387147417,4342
822,0.9732661652617364,4098
3076,0.9713052314469706,4514
9209,0.9752406440294282,4498
14996,0.9673189393943515,3429
30549,0.9721439977112492,3449
31260,0.9660836758706048,4332
36218,0.969045896902585,3905
40692,0.9681236739784038,3309
68448,0.9717643358733107,3621
70323,0.9733962267936044,3491
129622,0.9688675847455431,3239
148228,0.9683594982851291,3305
163412,0.9687397612006,2881
167791,0.964776955381251,3186
169786,0.9675069653621355,3415
173346,0.9663705653711959,2989
178900,0.9718921369167457,3209
230802,0.9715159428519472,2922
266192,0.973713104175106,3066
